$X,$Y,$H,$SL1,$SL2,$SL3,$SL4,$WWR_S,$WWR_N,$WWR_E, $WWR_W,$ORI,$WALL_U,$WIN_U,$GFLOOR_U, $FLOOR_SH,$ROOF_U,$WIN_G,$ACH,$LHG,$EHG,$ChillerCOP,$BoilerEfficiency,$ChillerPumpTypeCat,$BoilerPumpTypeCat,$ChillerTypeCat,Peak: Ground Floor,Peak: Intermediate Floor,Peak: Top Floor,Mean: Ground Floor,Mean: Intermediate Floor,Mean: Top Floor,Peak: Boiler Energy,Mean: Boiler Energy,Total: Boiler Energy
44.375,74.375,3.84375,0.4778125,2.9728125,4.5321875,1.1015625,0.391875,0.744375,0.215625,0.861875,-101.25,0.05375,1.390625,0.06125,965.625,0.04375,0.525,0.575,9.15625,11.40625,3.28125,0.821875,1,0,0,68320.69582,60770.75381,69925.64708,3451.397342,1845.741939,2008.267071,229127.4695,9309.042052,81547208.37
36.875,36.875,3.46875,1.1015625,3.5965625,2.6609375,2.9728125,0.744375,0.391875,0.803125,0.274375,-146.25,0.03875,1.953125,0.06625,928.125,0.04875,0.625,0.875,8.28125,13.28125,4.40625,0.934375,1,0,1,40135.09375,37059.44217,42023.8685,2932.810623,1922.546896,2185.322488,129572.7627,8798.907122,77078426.39
66.875,66.875,4.96875,3.5965625,1.1015625,0.1659375,0.4778125,0.274375,0.861875,0.333125,0.744375,33.75,0.05875,1.203125,0.04625,1078.125,0.06875,0.225,0.475,11.78125,10.78125,5.90625,0.784375,0,1,0,86916.46471,81657.26749,101960.5548,3457.277805,2230.396186,3545.303642,344136.3836,11349.42665,99420977.42
51.875,21.875,4.21875,2.3490625,2.3490625,1.4134375,4.2203125,0.039375,0.626875,0.098125,0.509375,123.75,0.04875,1.578125,0.03625,1003.125,0.05875,0.825,0.275,6.53125,14.53125,5.15625,0.859375,1,0,0,22400.43792,20738.28799,23159.76154,1055.361913,667.7688366,838.2364652,75387.78459,3351.914981,29362775.23
21.875,51.875,5.71875,4.8440625,4.8440625,3.9084375,1.7253125,0.509375,0.156875,0.568125,0.039375,-56.25,0.06875,0.828125,0.05625,1153.125,0.03875,0.425,0.675,10.03125,12.03125,3.65625,0.709375,0,1,1,46732.64571,44363.69313,47748.56794,3404.420683,2561.619183,2972.972607,149538.2056,12021.86447,105311532.8
22.8125,35.9375,5.109375,2.73890625,0.71171875,4.61015625,3.98640625,0.6415625,0.9353125,0.0540625,0.3771875,163.125,0.048125,1.9765625,0.069375,932.8125,0.036875,0.1375,0.5375,8.609375,11.640625,5.109375,0.8265625,1,0,0,33128.18441,31156.31121,33767.61968,3098.810471,2205.882103,2454.449477,105146.2504,10238.84236,89692259.1
52.8125,65.9375,3.609375,0.24390625,3.20671875,2.11515625,1.49140625,0.1715625,0.4653125,0.5240625,0.8471875,-16.875,0.068125,1.2265625,0.049375,1082.8125,0.056875,0.5375,0.9375,5.109375,14.140625,3.609375,0.9765625,0,1,1,97266.15702,92085.99264,106248.7991,7028.211783,5089.653392,6425.182229,331621.6374,27318.56928,239310666.9
67.8125,20.9375,5.859375,3.98640625,4.45421875,0.86765625,2.73890625,0.4065625,0.2303125,0.7590625,0.6121875,-106.875,0.038125,1.6015625,0.039375,1007.8125,0.066875,0.3375,0.7375,10.359375,10.390625,4.359375,0.7515625,1,0,1,63841.28831,63370.622,72308.60344,5127.083716,4487.986068,5949.824376,207610.9279,20257.50188,177455716.5
37.8125,50.9375,4.359375,1.49140625,1.95921875,3.36265625,0.24390625,0.8765625,0.7003125,0.2890625,0.1421875,73.125,0.058125,0.8515625,0.059375,1157.8125,0.046875,0.7375,0.3375,6.859375,12.890625,5.859375,0.9015625,0,1,0,33089.33806,25052.0048,30932.99769,1632.945114,831.667979,916.4524582,119533.2226,4579.607098,40117358.18
45.3125,28.4375,3.234375,2.11515625,1.33546875,3.98640625,3.36265625,0.2890625,0.1128125,0.6415625,0.4946875,28.125,0.033125,1.0390625,0.054375,1195.3125,0.041875,0.8375,0.6375,9.484375,12.265625,4.734375,0.7140625,0,1,1,18634.29906,12632.85404,14497.74027,1152.904079,624.2464029,757.9148354,70919.89636,2892.042076,25334288.58
